,Date,Price,SMA,EMA,RSI,Price_Return
0,2020-01-01,213.77,213.77,194.836,0.0,
1,2020-01-02,193.51,193.51,194.39400000000003,0.0,-0.09477475791738793
2,2020-01-03,178.53,178.53,189.10600000000002,0.0,-0.07741202005064333
3,2020-01-04,180.08,180.08,186.09733333333338,0.0,0.008682014227300798
4,2020-01-05,208.29,208.29,193.4948888888889,49.44370000406058,0.15665259884495766
5,2020-01-06,166.44,194.836,184.47659259259262,44.696500429015195,-0.20092179173268038
6,2020-01-07,173.77,185.37,180.90772839506178,45.83507941340697,0.04403989425618849
7,2020-01-08,225.7,181.422,195.83848559670787,54.187606500658866,0.29884329861310915
8,2020-01-09,209.92,190.856,200.5323237311386,51.18928933256598,-0.06991581745680107
9,2020-01-10,177.39,196.82399999999998,192.8182158207591,44.80141438641307,-0.15496379573170732
10,2020-01-11,160.26,190.644,181.9654772138394,41.400713433815696,-0.0965668865212244
11,2020-01-12,169.34,189.408,177.75698480922628,44.20677184298269,0.056657930862348764
12,2020-01-13,163.42,188.522,172.97798987281755,42.54637163667029,-0.03495925357269408
13,2020-01-14,228.5,176.066,191.48532658187838,62.10509932596949,0.3982376698078572
14,2020-01-15,173.56,179.78199999999998,185.51021772125227,45.69133730437235,-0.24043763676148797
15,2020-01-16,220.44,179.016,197.15347848083485,57.63413146023384,0.2701083198893754
16,2020-01-17,243.96,191.052,212.75565232055658,62.76870842342859,0.10669569951007081
17,2020-01-18,203.95,205.976,209.82043488037107,49.90717412203811,-0.1640022954582719
18,2020-01-19,159.41,214.082,193.01695658691406,38.834371804061526,-0.2183868595243932
19,2020-01-20,189.91,200.264,191.98130439127607,48.59654516061662,0.19133053133429523
20,2020-01-21,161.72,203.534,181.8942029275174,41.030761748006825,-0.1484387341372229
21,2020-01-22,246.45,191.79,203.41280195167826,62.79368755387387,0.5239302498144941
22,2020-01-23,167.24,192.28799999999998,191.35520130111885,43.87284775187787,-0.32140393588963273
23,2020-01-24,210.18,184.946,197.6301342007459,53.389791574490005,0.25675675675675674
24,2020-01-25,157.41,195.1,184.2234228004973,42.357013217136895,-0.25107051099057953
25,2020-01-26,167.09,188.6,178.51228186699822,44.96476223945274,0.06149545772187286
26,2020-01-27,161.96,189.674,172.9948545779988,43.65642557911234,-0.030702016877132057
27,2020-01-28,171.56,172.776,172.5165697186659,47.24695603411055,0.05927389478883671
28,2020-01-29,155.66,173.64000000000001,166.89771314577726,41.74010127291352,-0.09267894614129171
29,2020-01-30,206.71,162.736,180.16847543051819,60.30737806163179,0.32795837080817175
30,2020-01-31,175.73,172.596,178.68898362034545,48.56627367833981,-0.14987180107396844
